"id","dam","sire"
"N200103",NA,NA
"20021B79A_DAM",NA,NA
"N200582",NA,NA
"20021EX44_DAM",NA,NA
"N200029",NA,NA
"K578612",NA,NA
"K578605",NA,NA
"VT34185",NA,NA
"N200589",NA,NA
"N200581",NA,NA
"N200370",NA,NA
"N200597",NA,NA
"N200559",NA,NA
"20021C27_DAM",NA,NA
"20021C23_DAM",NA,NA
"20021C21_DAM",NA,NA
"H300042",NA,NA
"20021W78_DAM",NA,NA
"N200595",NA,NA
"N200033",NA,NA
"VT34036",NA,NA
"K578055",NA,NA
"F873549",NA,NA
"N200112",NA,NA
"C695341",NA,NA
"N200599",NA,NA
"N200702",NA,NA
"VT34408",NA,NA
"K578042",NA,NA
"K578620",NA,NA
"H300052",NA,NA
"K578619",NA,NA
"N200624",NA,NA
"N200672",NA,NA
"K604592",NA,NA
"K578058",NA,NA
"N200703",NA,NA
"N200115",NA,NA
"N200680",NA,NA
"N200710",NA,NA
"N200712",NA,NA
"K578624",NA,NA
"N200711",NA,NA
"N200709",NA,NA
"N200683",NA,NA
"N200106",NA,NA
"K578980",NA,NA
"20031C15_DAM",NA,NA
"H300055",NA,NA
"20031MP63_DAM",NA,NA
"N200806",NA,NA
"P439027",NA,NA
"P439004",NA,NA
"20031P13_DAM",NA,NA
"N200810",NA,NA
"H839844",NA,NA
"N200773",NA,NA
"N200816",NA,NA
"R639009",NA,NA
"P439113",NA,NA
"P439072",NA,NA
"R040127",NA,NA
"R639013",NA,NA
"KS78042",NA,NA
"N200708",NA,NA
"P439042",NA,NA
"N200780",NA,NA
"KS78064",NA,NA
"R639004",NA,NA
"N200825",NA,NA
"N200821",NA,NA
"P439051",NA,NA
"R639016",NA,NA
"R639017",NA,NA
"KS78055",NA,NA
"F952912",NA,NA
"H839846",NA,NA
"N199102",NA,NA
"P439141",NA,NA
"N199103",NA,NA
"20041MP45_DAM",NA,NA
"P439149",NA,NA
"T177502",NA,NA
"20041EX39_DAM",NA,NA
"R639007",NA,NA
"N199104",NA,NA
"T177507",NA,NA
"N200819",NA,NA
"T177506",NA,NA
"P439209",NA,NA
"F952921",NA,NA
"N200747",NA,NA
"N199108",NA,NA
"N200846",NA,NA
"P439061",NA,NA
"T177509",NA,NA
"P439028",NA,NA
"R040089",NA,NA
"T177521",NA,NA
"K578961",NA,NA
"N200125",NA,NA
"N199010",NA,NA
"R040153",NA,NA
"P439195",NA,NA
"T177519",NA,NA
"F952994",NA,NA
"P439168",NA,NA
"N200127",NA,NA
"P439105",NA,NA
"P439175",NA,NA
"F952452",NA,NA
"T640301",NA,NA
"F952461",NA,NA
"F952459",NA,NA
"F952457",NA,NA
"E985041",NA,NA
"T640305",NA,NA
"E985042",NA,NA
"E985044",NA,NA
"F952462",NA,NA
"F952464",NA,NA
"F952466",NA,NA
"E985051",NA,NA
"E985066",NA,NA
"H300613",NA,NA
"T550164",NA,NA
"E985071",NA,NA
"E985082",NA,NA
"E985077",NA,NA
"E985060",NA,NA
"T640315",NA,NA
"E985063",NA,NA
"E985070",NA,NA
"N199016",NA,NA
"T177537",NA,NA
"E985089",NA,NA
"E985081",NA,NA
"E985075",NA,NA
"E985073",NA,NA
"E985097",NA,NA
"T640319",NA,NA
"T550179",NA,NA
"E985086",NA,NA
"E985088",NA,NA
"E985079",NA,NA
"T640004",NA,NA
"T550178",NA,NA
"E985094",NA,NA
"T640324",NA,NA
"N200905",NA,NA
"N199389",NA,NA
"R639115",NA,NA
"T640348",NA,NA
"P439282",NA,NA
"T550200",NA,NA
"N200996",NA,NA
"N200999",NA,NA
"N199333",NA,NA
"T550189",NA,NA
"N199453",NA,NA
"T640328",NA,NA
"T176729",NA,NA
"N199433",NA,NA
"N200998",NA,NA
"N199312",NA,NA
"T640107",NA,NA
"N199430",NA,NA
"T640341",NA,NA
"F952472",NA,NA
"N199324",NA,NA
"N199418",NA,NA
"T640006",NA,NA
"R639107",NA,NA
"N199329",NA,NA
"N199318",NA,NA
"N199105",NA,NA
"T640101",NA,NA
"T176781",NA,NA
"J644807",NA,NA
"N201000",NA,NA
"T640011",NA,NA
"N199421",NA,NA
"20061EX35_DAM",NA,NA
"N199381",NA,NA
"P439156",NA,NA
"N199319",NA,NA
"N200935",NA,NA
"N199441",NA,NA
"H301164",NA,NA
"H300665",NA,NA
"N199447",NA,NA
"R639113",NA,NA
"N199463",NA,NA
"T550019",NA,NA
"T640228",NA,NA
"N199390",NA,NA
"R639111",NA,NA
"H300635",NA,NA
"T640342",NA,NA
"N199383",NA,NA
"R639201",NA,NA
"T176730",NA,NA
"J644809",NA,NA
"N200129",NA,NA
"N199438",NA,NA
"N199048",NA,NA
"TC58755",NA,NA
"20061O81_DAM",NA,NA
"T176855",NA,NA
"N199443",NA,NA
"T176814",NA,NA
"J644813",NA,NA
"J644810",NA,NA
"N199070",NA,NA
"N199467",NA,NA
"T642829",NA,NA
"N199470",NA,NA
"T640353",NA,NA
"N199331",NA,NA
"T550135",NA,NA
"N199473",NA,NA
"J644829",NA,NA
"N199634",NA,NA
"T177683",NA,NA
"N199640",NA,NA
"J644997",NA,NA
"N199072",NA,NA
"TC52694",NA,NA
"J644999",NA,NA
"F952478",NA,NA
"T177715",NA,NA
"F952477",NA,NA
"T177712",NA,NA
"N199642",NA,NA
"R639441",NA,NA
"V260986",NA,NA
"T640067",NA,NA
"J644859",NA,NA
"T177744",NA,NA
"H300660",NA,NA
"N199087",NA,NA
"T177774",NA,NA
"R639129",NA,NA
"V260947",NA,NA
"N199647",NA,NA
"N199644",NA,NA
"J644993",NA,NA
"R639442",NA,NA
"P439584",NA,NA
"T177665",NA,NA
"R639455",NA,NA
"K639119",NA,NA
"TB26874",NA,NA
"TB28383",NA,NA
"20071O114_DAM",NA,NA
"T640599",NA,NA
"J644902",NA,NA
"N199652",NA,NA
"T640096",NA,NA
"T640372",NA,NA
"N199705",NA,NA
"T177666",NA,NA
"N199708",NA,NA
"E018348",NA,NA
"T640816",NA,NA
"T640807",NA,NA
"E018350",NA,NA
"T640804",NA,NA
"T640811",NA,NA
"T176973",NA,NA
"E018352",NA,NA
"T176944",NA,NA
"20081O75_DAM",NA,NA
"E018353",NA,NA
"T640357",NA,NA
"T176955",NA,NA
"K578717",NA,NA
"T640707",NA,NA
"X235601",NA,NA
"R639239",NA,NA
"T176959",NA,NA
"T640378",NA,NA
"T176941",NA,NA
"E018356",NA,NA
"F952437",NA,NA
"K578749",NA,NA
"T640379",NA,NA
"T640382",NA,NA
"N199907",NA,NA
"J644923",NA,NA
"E018358",NA,NA
"J644927",NA,NA
"T640584",NA,NA
"N199681",NA,NA
"F459763",NA,NA
"T177742",NA,NA
"N199991",NA,NA
"P639129",NA,NA
"N199664",NA,NA
"X235615",NA,NA
"R639292",NA,NA
"T176948",NA,NA
"N199954",NA,NA
"E018375",NA,NA
"P439598",NA,NA
"K578738",NA,NA
"X237902",NA,NA
"20091C147_DAM",NA,NA
"K578732",NA,NA
"X235619",NA,NA
"X237904",NA,NA
"J644939",NA,NA
"X239576",NA,NA
"K578737",NA,NA
"X239901",NA,NA
"K578748",NA,NA
"TJ25799",NA,NA
"T640746",NA,NA
"J644948",NA,NA
"T640642",NA,NA
"J644945",NA,NA
"R639486",NA,NA
"T640779",NA,NA
"J644946",NA,NA
"X239704",NA,NA
"X239705",NA,NA
"K578709",NA,NA
"X239807",NA,NA
"X239905",NA,NA
"X239906",NA,NA
"T640767",NA,NA
"J644956",NA,NA
"X237894",NA,NA
